LGA region,Postcode,People reporting fair or poor health status,People reporting fair or poor health status (rank),Females reporting fair or poor health status,Females reporting fair or poor health status (rank),Males reporting fair or poor health status,Males reporting fair or poor health status (rank),People receiving prescriptions,People receiving prescriptions (rank),Females receiving prescriptions,Females receiving prescriptions (rank),Males receiving prescriptions,Males receiving prescriptions (rank),"People who delayed purchasing prescribed medication, unable to afford","People who delayed purchasing prescribed medication, unable to afford (rank)",People reporting type 2 diabetes,People reporting type 2 diabetes (rank),People reporting high blood pressure,People reporting high blood pressure (rank),People reporting heart disease,People reporting heart disease (rank),"Cancer incidence per 1,000 population","Cancer incidence per 1,000 population (rank)","Cancer incidence per 1,000 females","Cancer incidence per 1,000 females (rank)","Cancer incidence per 1,000 males","Cancer incidence per 1,000 males (rank)"
Surf Coast,3240,10.00%,69,8.60%,73,10.50%,71,70.90%,59,77.80%,49,64.10%,58,9.00%,67,2.80%,77,19.90%,76,5.60%,67,5.5,50,5.6,35,5.5,59
Surf Coast,3241,10.00%,69,8.60%,73,10.50%,71,70.90%,59,77.80%,49,64.10%,58,9.00%,67,2.80%,77,19.90%,76,5.60%,67,5.5,50,5.6,35,5.5,59
Surf Coast,3242,10.00%,69,8.60%,73,10.50%,71,70.90%,59,77.80%,49,64.10%,58,9.00%,67,2.80%,77,19.90%,76,5.60%,67,5.5,50,5.6,35,5.5,59
Surf Coast,3243,10.00%,69,8.60%,73,10.50%,71,70.90%,59,77.80%,49,64.10%,58,9.00%,67,2.80%,77,19.90%,76,5.60%,67,5.5,50,5.6,35,5.5,59
Surf Coast,3321,10.00%,69,8.60%,73,10.50%,71,70.90%,59,77.80%,49,64.10%,58,9.00%,67,2.80%,77,19.90%,76,5.60%,67,5.5,50,5.6,35,5.5,59
Swan Hill,2715,16.10%,33,10.10%,63,21.60%,12,79.30%,11,86.50%,9,72.40%,13,14.00%,11,4.70%,41,27.20%,34,4.70%,77,6.3,32,5.8,29,6.7,33
Swan Hill,2735,16.10%,33,10.10%,63,21.60%,12,79.30%,11,86.50%,9,72.40%,13,14.00%,11,4.70%,41,27.20%,34,4.70%,77,6.3,32,5.8,29,6.7,33
Swan Hill,2736,16.10%,33,10.10%,63,21.60%,12,79.30%,11,86.50%,9,72.40%,13,14.00%,11,4.70%,41,27.20%,34,4.70%,77,6.3,32,5.8,29,6.7,33
Swan Hill,2737,16.10%,33,10.10%,63,21.60%,12,79.30%,11,86.50%,9,72.40%,13,14.00%,11,4.70%,41,27.20%,34,4.70%,77,6.3,32,5.8,29,6.7,33
Swan Hill,3501,16.10%,33,10.10%,63,21.60%,12,79.30%,11,86.50%,9,72.40%,13,14.00%,11,4.70%,41,27.20%,34,4.70%,77,6.3,32,5.8,29,6.7,33
Swan Hill,3507,16.10%,33,10.10%,63,21.60%,12,79.30%,11,86.50%,9,72.40%,13,14.00%,11,4.70%,41,27.20%,34,4.70%,77,6.3,32,5.8,29,6.7,33
Swan Hill,3530,16.10%,33,10.10%,63,21.60%,12,79.30%,11,86.50%,9,72.40%,13,14.00%,11,4.70%,41,27.20%,34,4.70%,77,6.3,32,5.8,29,6.7,33
Swan Hill,3533,16.10%,33,10.10%,63,21.60%,12,79.30%,11,86.50%,9,72.40%,13,14.00%,11,4.70%,41,27.20%,34,4.70%,77,6.3,32,5.8,29,6.7,33
Swan Hill,3542,16.10%,33,10.10%,63,21.60%,12,79.30%,11,86.50%,9,72.40%,13,14.00%,11,4.70%,41,27.20%,34,4.70%,77,6.3,32,5.8,29,6.7,33
Swan Hill,3544,16.10%,33,10.10%,63,21.60%,12,79.30%,11,86.50%,9,72.40%,13,14.00%,11,4.70%,41,27.20%,34,4.70%,77,6.3,32,5.8,29,6.7,33
Swan Hill,3546,16.10%,33,10.10%,63,21.60%,12,79.30%,11,86.50%,9,72.40%,13,14.00%,11,4.70%,41,27.20%,34,4.70%,77,6.3,32,5.8,29,6.7,33
Swan Hill,3549,16.10%,33,10.10%,63,21.60%,12,79.30%,11,86.50%,9,72.40%,13,14.00%,11,4.70%,41,27.20%,34,4.70%,77,6.3,32,5.8,29,6.7,33
Swan Hill,3579,16.10%,33,10.10%,63,21.60%,12,79.30%,11,86.50%,9,72.40%,13,14.00%,11,4.70%,41,27.20%,34,4.70%,77,6.3,32,5.8,29,6.7,33
Swan Hill,3584,16.10%,33,10.10%,63,21.60%,12,79.30%,11,86.50%,9,72.40%,13,14.00%,11,4.70%,41,27.20%,34,4.70%,77,6.3,32,5.8,29,6.7,33
Swan Hill,3585,16.10%,33,10.10%,63,21.60%,12,79.30%,11,86.50%,9,72.40%,13,14.00%,11,4.70%,41,27.20%,34,4.70%,77,6.3,32,5.8,29,6.7,33
Swan Hill,3586,16.10%,33,10.10%,63,21.60%,12,79.30%,11,86.50%,9,72.40%,13,14.00%,11,4.70%,41,27.20%,34,4.70%,77,6.3,32,5.8,29,6.7,33
Swan Hill,3588,16.10%,33,10.10%,63,21.60%,12,79.30%,11,86.50%,9,72.40%,13,14.00%,11,4.70%,41,27.20%,34,4.70%,77,6.3,32,5.8,29,6.7,33
Swan Hill,3589,16.10%,33,10.10%,63,21.60%,12,79.30%,11,86.50%,9,72.40%,13,14.00%,11,4.70%,41,27.20%,34,4.70%,77,6.3,32,5.8,29,6.7,33
Swan Hill,3590,16.10%,33,10.10%,63,21.60%,12,79.30%,11,86.50%,9,72.40%,13,14.00%,11,4.70%,41,27.20%,34,4.70%,77,6.3,32,5.8,29,6.7,33
Swan Hill,3591,16.10%,33,10.10%,63,21.60%,12,79.30%,11,86.50%,9,72.40%,13,14.00%,11,4.70%,41,27.20%,34,4.70%,77,6.3,32,5.8,29,6.7,33
Swan Hill,3594,16.10%,33,10.10%,63,21.60%,12,79.30%,11,86.50%,9,72.40%,13,14.00%,11,4.70%,41,27.20%,34,4.70%,77,6.3,32,5.8,29,6.7,33
Swan Hill,3595,16.10%,33,10.10%,63,21.60%,12,79.30%,11,86.50%,9,72.40%,13,14.00%,11,4.70%,41,27.20%,34,4.70%,77,6.3,32,5.8,29,6.7,33
Swan Hill,3596,16.10%,33,10.10%,63,21.60%,12,79.30%,11,86.50%,9,72.40%,13,14.00%,11,4.70%,41,27.20%,34,4.70%,77,6.3,32,5.8,29,6.7,33
Swan Hill,3597,16.10%,33,10.10%,63,21.60%,12,79.30%,11,86.50%,9,72.40%,13,14.00%,11,4.70%,41,27.20%,34,4.70%,77,6.3,32,5.8,29,6.7,33
