LGA region,Postcode,People reporting fair or poor health status,People reporting fair or poor health status (rank),Females reporting fair or poor health status,Females reporting fair or poor health status (rank),Males reporting fair or poor health status,Males reporting fair or poor health status (rank),People receiving prescriptions,People receiving prescriptions (rank),Females receiving prescriptions,Females receiving prescriptions (rank),Males receiving prescriptions,Males receiving prescriptions (rank),"People who delayed purchasing prescribed medication, unable to afford","People who delayed purchasing prescribed medication, unable to afford (rank)",People reporting type 2 diabetes,People reporting type 2 diabetes (rank),People reporting high blood pressure,People reporting high blood pressure (rank),People reporting heart disease,People reporting heart disease (rank),"Cancer incidence per 1,000 population","Cancer incidence per 1,000 population (rank)","Cancer incidence per 1,000 females","Cancer incidence per 1,000 females (rank)","Cancer incidence per 1,000 males","Cancer incidence per 1,000 males (rank)"
Wellington,3971,13.20%,55,13.00%,44,12.60%,62,73.70%,41,82.20%,27,65.30%,54,13.70%,16,6.60%,7,29.10%,15,7.00%,36,6.2,33,5.2,43,7.1,30
West Wimmera,3312,19.90%,8,23.70%,6,16.60%,33,79.90%,10,87.10%,7,72.90%,10,13.50%,21,4.60%,43,30.00%,9,7.40%,33,5.8,42,5.6,34,5.9,48
West Wimmera,3315,19.90%,8,23.70%,6,16.60%,33,79.90%,10,87.10%,7,72.90%,10,13.50%,21,4.60%,43,30.00%,9,7.40%,33,5.8,42,5.6,34,5.9,48
West Wimmera,3317,19.90%,8,23.70%,6,16.60%,33,79.90%,10,87.10%,7,72.90%,10,13.50%,21,4.60%,43,30.00%,9,7.40%,33,5.8,42,5.6,34,5.9,48
West Wimmera,3318,19.90%,8,23.70%,6,16.60%,33,79.90%,10,87.10%,7,72.90%,10,13.50%,21,4.60%,43,30.00%,9,7.40%,33,5.8,42,5.6,34,5.9,48
West Wimmera,3319,19.90%,8,23.70%,6,16.60%,33,79.90%,10,87.10%,7,72.90%,10,13.50%,21,4.60%,43,30.00%,9,7.40%,33,5.8,42,5.6,34,5.9,48
West Wimmera,3401,19.90%,8,23.70%,6,16.60%,33,79.90%,10,87.10%,7,72.90%,10,13.50%,21,4.60%,43,30.00%,9,7.40%,33,5.8,42,5.6,34,5.9,48
West Wimmera,3407,19.90%,8,23.70%,6,16.60%,33,79.90%,10,87.10%,7,72.90%,10,13.50%,21,4.60%,43,30.00%,9,7.40%,33,5.8,42,5.6,34,5.9,48
West Wimmera,3409,19.90%,8,23.70%,6,16.60%,33,79.90%,10,87.10%,7,72.90%,10,13.50%,21,4.60%,43,30.00%,9,7.40%,33,5.8,42,5.6,34,5.9,48
West Wimmera,3412,19.90%,8,23.70%,6,16.60%,33,79.90%,10,87.10%,7,72.90%,10,13.50%,21,4.60%,43,30.00%,9,7.40%,33,5.8,42,5.6,34,5.9,48
West Wimmera,3413,19.90%,8,23.70%,6,16.60%,33,79.90%,10,87.10%,7,72.90%,10,13.50%,21,4.60%,43,30.00%,9,7.40%,33,5.8,42,5.6,34,5.9,48
West Wimmera,3418,19.90%,8,23.70%,6,16.60%,33,79.90%,10,87.10%,7,72.90%,10,13.50%,21,4.60%,43,30.00%,9,7.40%,33,5.8,42,5.6,34,5.9,48
West Wimmera,3419,19.90%,8,23.70%,6,16.60%,33,79.90%,10,87.10%,7,72.90%,10,13.50%,21,4.60%,43,30.00%,9,7.40%,33,5.8,42,5.6,34,5.9,48
West Wimmera,3420,19.90%,8,23.70%,6,16.60%,33,79.90%,10,87.10%,7,72.90%,10,13.50%,21,4.60%,43,30.00%,9,7.40%,33,5.8,42,5.6,34,5.9,48
West Wimmera,3490,19.90%,8,23.70%,6,16.60%,33,79.90%,10,87.10%,7,72.90%,10,13.50%,21,4.60%,43,30.00%,9,7.40%,33,5.8,42,5.6,34,5.9,48
West Wimmera,5262,19.90%,8,23.70%,6,16.60%,33,79.90%,10,87.10%,7,72.90%,10,13.50%,21,4.60%,43,30.00%,9,7.40%,33,5.8,42,5.6,34,5.9,48
West Wimmera,5263,19.90%,8,23.70%,6,16.60%,33,79.90%,10,87.10%,7,72.90%,10,13.50%,21,4.60%,43,30.00%,9,7.40%,33,5.8,42,5.6,34,5.9,48
West Wimmera,5267,19.90%,8,23.70%,6,16.60%,33,79.90%,10,87.10%,7,72.90%,10,13.50%,21,4.60%,43,30.00%,9,7.40%,33,5.8,42,5.6,34,5.9,48
West Wimmera,5268,19.90%,8,23.70%,6,16.60%,33,79.90%,10,87.10%,7,72.90%,10,13.50%,21,4.60%,43,30.00%,9,7.40%,33,5.8,42,5.6,34,5.9,48
West Wimmera,5269,19.90%,8,23.70%,6,16.60%,33,79.90%,10,87.10%,7,72.90%,10,13.50%,21,4.60%,43,30.00%,9,7.40%,33,5.8,42,5.6,34,5.9,48
West Wimmera,5271,19.90%,8,23.70%,6,16.60%,33,79.90%,10,87.10%,7,72.90%,10,13.50%,21,4.60%,43,30.00%,9,7.40%,33,5.8,42,5.6,34,5.9,48
